,1rd_red, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6rd_r, 6rd_rg, 6rd_most_red, 6rd_least_red, 6rd_most_yellow, 6th_size, height/area
0,179.65,48.22,224.6,158.0,-209.0,370.0,10981,141.68,63.15,128.75,155.0,-240.0,335.0,10157,149.8,81.87,135.43,167.0,-248.0,301.0,10081,168.14,82.22,154.7,172.0,-162.0,277.0,10328,173.14,74.95,196.93,163.0,-140.0,376.0,10264,153.59,73.13,155.59,160.0,-206.0,329.0,10156,0.92487023039796
1,175.5,-9.96,227.14,145.0,-230.0,386.0,11926,119.29,30.07,106.09,136.0,-232.0,327.0,11787,117.79,45.55,105.21,128.0,-231.0,252.0,11222,129.69,41.82,116.34,117.0,-237.0,275.0,11350,174.57,36.38,196.02,155.0,-183.0,338.0,10948,148.2,46.09,156.11,152.0,-180.0,377.0,11417,0.9573201408686902
2,176.79,21.82,223.68,129.0,-127.0,380.0,12153,136.82,47.71,126.01,140.0,-244.0,333.0,11564,111.15,44.27,92.53,124.0,-121.0,253.0,12272,126.25,45.25,114.35,152.0,-203.0,315.0,11456,179.41,66.04,210.1,156.0,-167.0,386.0,12173,160.67,59.25,177.91,140.0,-138.0,340.0,11697,0.9624784003949642
3,185.79,-56.87,281.75,107.0,-237.0,384.0,15137,155.54,25.69,157.65,172.0,-245.0,333.0,15027,176.64,46.64,194.22,168.0,-238.0,362.0,14726,169.77,35.39,195.73,173.0,-197.0,402.0,14344,180.11,-4.2,239.52,141.0,-228.0,391.0,14778,168.33,39.37,198.21,164.0,-234.0,363.0,14829,0.9796525071018036
4,153.74,1.64,182.3,134.0,-228.0,402.0,13290,165.26,-23.26,201.44,131.0,-230.0,395.0,12905,123.48,35.7,112.26,146.0,-232.0,264.0,12509,177.73,-5.88,232.74,163.0,-163.0,383.0,13034,175.83,-22.44,235.48,117.0,-198.0,387.0,13274,128.7,29.82,116.88,145.0,-208.0,340.0,12925,0.972535741158766
5,167.94,-49.7,243.08,142.0,-235.0,381.0,10603,171.73,-38.61,230.83,91.0,-226.0,362.0,10390,149.39,64.76,152.54,161.0,-152.0,327.0,10369,167.48,-53.49,239.89,119.0,-185.0,371.0,10414,175.59,-76.05,263.13,38.0,-180.0,381.0,10669,169.47,8.21,210.35,135.0,-195.0,379.0,10235,0.96529284164859
6,179.79,-7.34,245.7,169.0,-203.0,418.0,12882,184.88,-22.25,245.63,118.0,-227.0,385.0,12319,178.26,62.47,173.45,181.0,-239.0,364.0,12430,191.76,18.97,234.65,183.0,-225.0,360.0,12439,197.03,14.54,247.28,132.0,-181.0,347.0,12677,186.68,43.72,223.82,151.0,-131.0,351.0,12693,0.9853283651606892
7,171.89,-49.89,254.51,106.0,-236.0,388.0,12443,167.03,23.1,190.12,176.0,-163.0,363.0,11456,159.3,61.34,159.52,162.0,-228.0,281.0,10871,158.35,21.11,186.23,164.0,-228.0,397.0,11701,179.34,-36.95,263.09,135.0,-203.0,385.0,10543,186.88,-53.26,263.1,117.0,-223.0,380.0,11700,0.9402877119665676
8,184.68,-38.64,264.4,129.0,-201.0,399.0,12112,179.35,-60.73,252.27,108.0,-235.0,369.0,11366,185.81,53.42,204.08,172.0,-234.0,345.0,11696,200.7,-12.73,257.87,159.0,-238.0,365.0,11833,204.47,-65.11,289.25,95.0,-242.0,387.0,11336,203.47,-41.36,274.14,61.0,-224.0,382.0,11795,0.9738276089828268
9,174.21,-7.62,219.94,121.0,-229.0,392.0,11169,126.6,39.38,119.08,151.0,-246.0,302.0,10839,138.16,51.63,128.33,154.0,-170.0,339.0,10951,159.4,33.59,170.59,152.0,-234.0,356.0,10481,167.1,20.21,203.07,153.0,-168.0,382.0,10605,144.53,42.96,147.1,147.0,-160.0,367.0,10733,0.9609633807861044
